Dataset-variant, Category, Acc, NMI, ARI, F1, Time per run, temperature
"ResNet + Doc2Vec", MVC, 0.7251 ± 0.0033, 0.8310 ± 0.0027, 0.7332 ± 0.0021, 0.6529 ± 0.0069, 2.60s, 1.0
"CLIP", MVC, 0.7445 ± 0.0270, 0.8589 ± 0.0075, 0.7557 ± 0.0258, 0.6598 ± 0.0298, 1.39s, 1.0
"ViT + SBERT", MVC, 0.6775 ± 0.0173, 0.8098 ± 0.0045, 0.7203 ± 0.0256, 0.5486 ± 0.0211, 1.41s, 1.0
"ResNet + MiniLM", MVC, 0.6386 ± 0.0133, 0.7673 ± 0.0005, 0.6166 ± 0.0153, 0.5656 ± 0.0075, 2.28s, 1.0
"Vit + MiniLM", MVC, 0.6775 ± 0.0001, 0.8099 ± 0.0000, 0.7203 ± 0.0000, 0.5486 ± 0.0000, 1.38s, 1.0s
