Dataset-variant, Category, Acc, NMI, ARI, F1, Time per run, temperature, Beta
"ResNet + Doc2Vec", MVC, 0.5902 ± 0.0199, 0.7749 ± 0.0064, 0.5614 ± 0.0231, 0.5369 ± 0.0182, 20.69s, 1.0
"CLIP", MVC, 0.6881 ± 0.0180, 0.8764 ± 0.0056, 0.7028 ± 0.0206, 0.5963 ± 0.0240, 14.51s, 1.0
"ViT + SBERT", MVC, 0.6856 ± 0.0173, 0.8293 ± 0.0045, 0.6674 ± 0.0256, 0.6143 ± 0.0211, 13.75s, 1.0
"ResNet + MiniLM", MVC, 0.6017 ± 0.0186, 0.7454 ± 0.0021, 0.5551 ± 0.0188, 0.5378 ± 0.0181, 19.17s, 1.0
"Vit + MiniLM", MVC,  0.6847 ± 0.0196, 0.8287 ± 0.0062, 0.6583 ± 0.0310, 0.6157 ± 0.0166, 14.49s, 1.0
