Dataset-variant, Category, Acc, NMI, ARI, F1, Time per run, temperature
"ResNet + Doc2Vec", MVC,  0.5385 ± 0.0148, 0.5827 ± 0.0056, 0.3863 ± 0.0071, 0.5409 ± 0.0190, 0.89s, 1.0
"CLIP", MVC, 0.6920 ± 0.0154, 0.6983 ± 0.0043, 0.5559 ± 0.0076, 0.6849 ± 0.0017, 0.65s, 1.0
"ViT + SBERT", MVC, 0.6213 ± 0.0116, 0.6213 ± 0.0116, 0.4329 ± 0.0147, 0.6400 ± 0.0000, 0.64s, 1.0
"ResNet + MiniLM", MVC, 0.6053 ± 0.0086, 0.6217 ± 0.0038, 0.4398 ± 0.0038, 0.6073 ± 0.0093, 0.82s, 1.0 
"Vit + MiniLM", MVC, 0.6250 ± 0.0104, 0.6455 ± 0.0055, 0.4390 ± 0.0012, 0.6248 ± 0.0121, 0.64s, 1.0
